ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
206528_at	1.29e-04	1.74e-05	11.6024819	TRPC6	transient receptor potential cation channel subfamily C member 6
204616_at	1.29e-04	1.75e-05	11.5994134	UCHL3	ubiquitin C-terminal hydrolase L3
207917_at	1.30e-04	1.75e-05	11.5980666	NUDT13	nudix hydrolase 13
210440_s_at	1.30e-04	1.75e-05	11.5975543	CDC14A	cell division cycle 14A
221440_s_at	1.30e-04	1.75e-05	11.5964525	RBBP9	RB binding protein 9, serine hydrolase
205743_at	1.30e-04	1.76e-05	11.595971	STAC	SH3 and cysteine rich domain
210072_at	1.30e-04	1.76e-05	11.5947528	CCL19	C-C motif chemokine ligand 19
206708_at	1.30e-04	1.76e-05	11.5935028	FOXN2	forkhead box N2
215693_x_at	1.30e-04	1.76e-05	11.5917701	DDX27	DEAD-box helicase 27
210556_at	1.30e-04	1.77e-05	11.5890686	NFATC3	nuclear factor of activated T-cells 3
221195_at	1.30e-04	1.77e-05	11.5886979	RNFT1	ring finger protein, transmembrane 1
215193_x_at	1.30e-04	1.77e-05	11.5867473	LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1
219119_at	1.31e-04	1.77e-05	11.5854675	LSM8	LSM8 homolog, U6 small nuclear RNA associated
218976_at	1.31e-04	1.77e-05	11.5851297	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
211469_s_at	1.31e-04	1.77e-05	11.5847764	CXCR6	C-X-C motif chemokine receptor 6
203599_s_at	1.31e-04	1.77e-05	11.5841781	WBP4	WW domain binding protein 4
217132_at	1.31e-04	1.78e-05	11.5829406		
201856_s_at	1.31e-04	1.78e-05	11.5820638	ZFR	zinc finger RNA binding protein
215216_at	1.31e-04	1.78e-05	11.5820507	VPS16	VPS16, CORVET/HOPS core subunit
208187_s_at	1.31e-04	1.78e-05	11.5817898		
202920_at	1.31e-04	1.78e-05	11.5804073	ANK2	ankyrin 2, neuronal
201970_s_at	1.31e-04	1.78e-05	11.5795988	NASP	nuclear autoantigenic sperm protein
220699_s_at	1.31e-04	1.78e-05	11.5785436	PRO2214	uncharacterized protein PRO2214
221159_at	1.31e-04	1.78e-05	11.5778338		
211936_at	1.31e-04	1.78e-05	11.5775516	HSPA5	heat shock protein family A (Hsp70) member 5
215166_at	1.31e-04	1.79e-05	11.5745911	IGSF9B	immunoglobulin superfamily member 9B
213371_at	1.31e-04	1.79e-05	11.5742214	LDB3	LIM domain binding 3
209378_s_at	1.31e-04	1.79e-05	11.5740857	CCSER2	coiled-coil serine rich protein 2
210447_at	1.31e-04	1.79e-05	11.57284	GLUD2	glutamate dehydrogenase 2
218133_s_at	1.32e-04	1.80e-05	11.5698893	NIF3L1	NGG1 interacting factor 3 like 1
214332_s_at	1.32e-04	1.80e-05	11.5689896	TSFM	Ts translation elongation factor, mitochondrial
207755_at	1.32e-04	1.80e-05	11.5677234		
203455_s_at	1.32e-04	1.80e-05	11.5660094	SAT1	spermidine/spermine N1-acetyltransferase 1
206625_at	1.32e-04	1.80e-05	11.565426	PRPH2	peripherin 2
48659_at	1.32e-04	1.80e-05	11.5651858	MIIP	migration and invasion inhibitory protein
202206_at	1.32e-04	1.81e-05	11.5643449	ARL4C	ADP ribosylation factor like GTPase 4C
220082_at	1.32e-04	1.81e-05	11.5629251	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D
219126_at	1.32e-04	1.81e-05	11.5628943	PHF10	PHD finger protein 10
217694_at	1.32e-04	1.81e-05	11.5611851		
215870_s_at	1.32e-04	1.81e-05	11.5595308	PLA2G5	phospholipase A2 group V
201028_s_at	1.33e-04	1.82e-05	11.5560108	CD99	CD99 molecule
201176_s_at	1.33e-04	1.82e-05	11.5549862	ARCN1	archain 1
208210_at	1.33e-04	1.82e-05	11.5540095	MAS1	MAS1 proto-oncogene, G protein-coupled receptor
206167_s_at	1.33e-04	1.82e-05	11.5524385	ARHGAP6	Rho GTPase activating protein 6
211088_s_at	1.33e-04	1.83e-05	11.5517525	PLK4	polo like kinase 4
217175_at	1.33e-04	1.83e-05	11.5501963	UGT2B15	UDP glucuronosyltransferase family 2 member B15
204965_at	1.33e-04	1.83e-05	11.5489894	GC	GC, vitamin D binding protein
203260_at	1.33e-04	1.83e-05	11.548896	HDDC2	HD domain containing 2
208978_at	1.33e-04	1.83e-05	11.5480896	CRIP2	cysteine rich protein 2
217447_at	1.34e-04	1.84e-05	11.5458687	MAG	myelin associated glycoprotein
208743_s_at	1.34e-04	1.84e-05	11.5451297	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
212074_at	1.34e-04	1.84e-05	11.5427463	SUN1	Sad1 and UNC84 domain containing 1
217282_at	1.34e-04	1.84e-05	11.5425923	MAN1A2	mannosidase alpha class 1A member 2
208446_s_at	1.34e-04	1.84e-05	11.5423912	ZFYVE9	zinc finger FYVE-type containing 9
215087_at	1.34e-04	1.84e-05	11.5420443	C15orf39	chromosome 15 open reading frame 39
206171_at	1.34e-04	1.84e-05	11.5418917	ADORA3	adenosine A3 receptor
208282_x_at	1.34e-04	1.84e-05	11.5416532	DAZ4///DAZ2///DAZ3///DAZ1	deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1
210275_s_at	1.34e-04	1.84e-05	11.5411397	ZFAND5	zinc finger AN1-type containing 5
206377_at	1.34e-04	1.85e-05	11.5386851	FOXF2	forkhead box F2
216425_at	1.34e-04	1.85e-05	11.5368196		
202038_at	1.34e-04	1.85e-05	11.5352552	UBE4A	ubiquitination factor E4A
202091_at	1.35e-04	1.86e-05	11.5330637	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
209763_at	1.35e-04	1.86e-05	11.5303489	CHRDL1	chordin like 1
214460_at	1.35e-04	1.86e-05	11.5301534	LSAMP	limbic system-associated membrane protein
205071_x_at	1.35e-04	1.86e-05	11.5288986	XRCC4	X-ray repair cross complementing 4
208271_at	1.35e-04	1.86e-05	11.5279342	PAPOLB	poly(A) polymerase beta
211150_s_at	1.35e-04	1.87e-05	11.5274628	DLAT	dihydrolipoamide S-acetyltransferase
213541_s_at	1.35e-04	1.87e-05	11.5260805	ERG	ERG, ETS transcription factor
210945_at	1.35e-04	1.87e-05	11.5260588	COL4A6	collagen type IV alpha 6 chain
215515_at	1.36e-04	1.88e-05	11.5215644		
205062_x_at	1.36e-04	1.88e-05	11.5212964	ARID4A	AT-rich interaction domain 4A
210400_at	1.36e-04	1.88e-05	11.5210736	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C
207402_at	1.36e-04	1.88e-05	11.5205851	ZNF132	zinc finger protein 132
206105_at	1.36e-04	1.88e-05	11.5189348	AFF2	AF4/FMR2 family member 2
209211_at	1.36e-04	1.88e-05	11.51873	KLF5	Kruppel like factor 5
200726_at	1.36e-04	1.88e-05	11.5173426	PPP1CC	protein phosphatase 1 catalytic subunit gamma
200710_at	1.36e-04	1.88e-05	11.5164756	ACADVL	acyl-CoA dehydrogenase, very long chain
206984_s_at	1.36e-04	1.89e-05	11.5154636	RIT2	Ras like without CAAX 2
211838_x_at	1.36e-04	1.89e-05	11.5144485	PCDHA5	protocadherin alpha 5
203164_at	1.36e-04	1.89e-05	11.5129569	SLC33A1	solute carrier family 33 member 1
207644_at	1.36e-04	1.89e-05	11.5129343	FOXH1	forkhead box H1
47571_at	1.36e-04	1.89e-05	11.5120785	ZNF236	zinc finger protein 236
200921_s_at	1.36e-04	1.89e-05	11.5117755	BTG1	BTG anti-proliferation factor 1
207124_s_at	1.36e-04	1.89e-05	11.5111277	GNB5	G protein subunit beta 5
211773_s_at	1.36e-04	1.89e-05	11.511001	ZKSCAN3	zinc finger with KRAB and SCAN domains 3
216509_x_at	1.37e-04	1.90e-05	11.508548	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10
202296_s_at	1.37e-04	1.90e-05	11.5058744	RER1	retention in endoplasmic reticulum sorting receptor 1
215755_at	1.37e-04	1.90e-05	11.5055833		
210584_s_at	1.37e-04	1.90e-05	11.5053056	RRP7BP///POLDIP3	ribosomal RNA processing 7 homolog B, pseudogene///DNA polymerase delta interacting protein 3
210872_x_at	1.37e-04	1.90e-05	11.5052066	GAS7	growth arrest specific 7
200599_s_at	1.37e-04	1.90e-05	11.5051179	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1
214396_s_at	1.37e-04	1.91e-05	11.5032419	MBD2	methyl-CpG binding domain protein 2
216552_x_at	1.37e-04	1.91e-05	11.5001084	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
206935_at	1.37e-04	1.91e-05	11.4986708	PCDH8	protocadherin 8
220478_at	1.37e-04	1.92e-05	11.4978912	APOL5	apolipoprotein L5
203019_x_at	1.38e-04	1.92e-05	11.4967107	SSX2IP	SSX family member 2 interacting protein
218488_at	1.38e-04	1.92e-05	11.4956843	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma
220707_s_at	1.38e-04	1.92e-05	11.4951695	FOXRED2	FAD dependent oxidoreductase domain containing 2
210349_at	1.38e-04	1.92e-05	11.4941001	CAMK4	calcium/calmodulin dependent protein kinase IV
216040_x_at	1.38e-04	1.93e-05	11.4917091		
215184_at	1.38e-04	1.93e-05	11.4907895	DAPK2	death associated protein kinase 2
216760_at	1.39e-04	1.94e-05	11.4855603	HRASLS2	HRAS like suppressor 2
206501_x_at	1.39e-04	1.94e-05	11.4816657	ETV1	ETS variant 1
220696_at	1.39e-04	1.94e-05	11.4811971		
203136_at	1.39e-04	1.95e-05	11.4804331	RABAC1	Rab acceptor 1
208148_at	1.39e-04	1.95e-05	11.4793383	MYH4	myosin heavy chain 4
219180_s_at	1.39e-04	1.95e-05	11.4791524	PEX26	peroxisomal biogenesis factor 26
206957_at	1.39e-04	1.95e-05	11.4785031	AGXT	alanine-glyoxylate aminotransferase
214183_s_at	1.39e-04	1.95e-05	11.47823	TKTL1	transketolase like 1
207446_at	1.39e-04	1.95e-05	11.4778438	TLR6	toll like receptor 6
213967_at	1.39e-04	1.95e-05	11.4764006	RALYL	RALY RNA binding protein-like
210455_at	1.40e-04	1.96e-05	11.4723687	R3HCC1L	R3H domain and coiled-coil containing 1 like
216973_s_at	1.40e-04	1.96e-05	11.4720338	HOXB7	homeobox B7
219045_at	1.40e-04	1.96e-05	11.471382	RHOF	ras homolog family member F, filopodia associated
218260_at	1.40e-04	1.97e-05	11.4686962	DDA1	DET1 and DDB1 associated 1
213093_at	1.40e-04	1.97e-05	11.4659751	PRKCA	protein kinase C alpha
217699_at	1.40e-04	1.97e-05	11.4655749		
219083_at	1.40e-04	1.97e-05	11.465563	SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor
221705_s_at	1.40e-04	1.97e-05	11.4649347	SIKE1	suppressor of IKBKE 1
211666_x_at	1.41e-04	1.98e-05	11.4614873	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
213368_x_at	1.41e-04	1.98e-05	11.4596527	PPFIA3	PTPRF interacting protein alpha 3
213908_at	1.41e-04	1.98e-05	11.4589661	WHAMMP2///WHAMMP3	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2///WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3
208655_at	1.41e-04	1.99e-05	11.4567565	CCNI	cyclin I
204087_s_at	1.41e-04	1.99e-05	11.4562698	SLC5A6	solute carrier family 5 member 6
201371_s_at	1.41e-04	1.99e-05	11.4554064	CUL3	cullin 3
207951_at	1.42e-04	1.99e-05	11.4533323	CSN2	casein beta
207713_s_at	1.42e-04	2.00e-05	11.4509322	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
217596_at	1.42e-04	2.00e-05	11.4484566	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)
206559_x_at	1.42e-04	2.00e-05	11.4480912		
211390_at	1.42e-04	2.00e-05	11.4475628	N4BP2L1	NEDD4 binding protein 2 like 1
201577_at	1.42e-04	2.00e-05	11.4472582	NME1	NME/NM23 nucleoside diphosphate kinase 1
208530_s_at	1.42e-04	2.01e-05	11.4458988	RARB	retinoic acid receptor beta
207271_x_at	1.42e-04	2.01e-05	11.4448677	SPAG11A///SPAG11B	sperm associated antigen 11A///sperm associated antigen 11B
216535_at	1.42e-04	2.01e-05	11.443674	CADM3	cell adhesion molecule 3
201754_at	1.43e-04	2.01e-05	11.4423146	COX6C	cytochrome c oxidase subunit 6C
218947_s_at	1.43e-04	2.01e-05	11.441827	MTPAP	mitochondrial poly(A) polymerase
220660_at	1.43e-04	2.01e-05	11.4414924	LINC00474	long intergenic non-protein coding RNA 474
220428_at	1.43e-04	2.02e-05	11.4409598	CD207	CD207 molecule
202199_s_at	1.43e-04	2.02e-05	11.4405769	SRPK1	SRSF protein kinase 1
205553_s_at	1.43e-04	2.02e-05	11.4374224	CSRP3	cysteine and glycine rich protein 3
221798_x_at	1.43e-04	2.02e-05	11.4367629		
210109_at	1.43e-04	2.02e-05	11.4363763	SND1-IT1	SND1 intronic transcript 1
219385_at	1.43e-04	2.02e-05	11.4363721	SLAMF8	SLAM family member 8
207466_at	1.43e-04	2.02e-05	11.4360734	GAL	galanin and GMAP prepropeptide
215393_s_at	1.43e-04	2.03e-05	11.4344086	COBLL1	cordon-bleu WH2 repeat protein like 1
210451_at	1.43e-04	2.03e-05	11.4326884	PKLR	pyruvate kinase, liver and RBC
206417_at	1.43e-04	2.03e-05	11.4325897	CNGA1	cyclic nucleotide gated channel alpha 1
215496_at	1.44e-04	2.04e-05	11.4291227	SAMD4A	sterile alpha motif domain containing 4A
205374_at	1.44e-04	2.04e-05	11.4276512	SLN	sarcolipin
216159_s_at	1.44e-04	2.04e-05	11.4273734		
219658_at	1.44e-04	2.04e-05	11.4252371	PTCD2	pentatricopeptide repeat domain 2
217732_s_at	1.44e-04	2.05e-05	11.4244879	ITM2B	integral membrane protein 2B
206406_at	1.44e-04	2.05e-05	11.4244423	SMCP	sperm mitochondria associated cysteine rich protein
220986_s_at	1.44e-04	2.05e-05	11.4231036	TIGD6	tigger transposable element derived 6
219561_at	1.45e-04	2.06e-05	11.4175904	COPZ2	coatomer protein complex subunit zeta 2
205137_x_at	1.45e-04	2.06e-05	11.4158486	USH1C	USH1 protein network component harmonin
201703_s_at	1.45e-04	2.07e-05	11.4130524	PPP1R10	protein phosphatase 1 regulatory subunit 10
221779_at	1.45e-04	2.07e-05	11.4118349	MICALL1	MICAL like 1
207449_s_at	1.46e-04	2.07e-05	11.410668	POFUT2	protein O-fucosyltransferase 2
203398_s_at	1.46e-04	2.07e-05	11.4092258	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3
219277_s_at	1.46e-04	2.08e-05	11.4084061	OGDHL	oxoglutarate dehydrogenase-like
210197_at	1.46e-04	2.08e-05	11.4066537	ITPK1	inositol-tetrakisphosphate 1-kinase
208821_at	1.46e-04	2.08e-05	11.4044887	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1
200658_s_at	1.46e-04	2.08e-05	11.4037322	PHB	prohibitin
215575_at	1.46e-04	2.09e-05	11.4030716	PDE4DIP	phosphodiesterase 4D interacting protein
79005_at	1.46e-04	2.09e-05	11.4028444	SLC35E1	solute carrier family 35 member E1
201403_s_at	1.46e-04	2.09e-05	11.4023435	MGST3	microsomal glutathione S-transferase 3
211805_s_at	1.46e-04	2.09e-05	11.4020391	SLC8A1	solute carrier family 8 member A1
205012_s_at	1.46e-04	2.09e-05	11.4003284	HAGH	hydroxyacylglutathione hydrolase
205274_at	1.47e-04	2.09e-05	11.3983148	GTPBP1	GTP binding protein 1
212428_at	1.47e-04	2.10e-05	11.3973762	KIAA0368	KIAA0368
201277_s_at	1.47e-04	2.10e-05	11.3973623	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
213833_x_at	1.47e-04	2.10e-05	11.3958393	NOP16	NOP16 nucleolar protein
222323_at	1.47e-04	2.10e-05	11.394604		
211148_s_at	1.47e-04	2.11e-05	11.391949	ANGPT2	angiopoietin 2
217464_at	1.47e-04	2.11e-05	11.3912924		
215220_s_at	1.47e-04	2.11e-05	11.3912202	TPR	translocated promoter region, nuclear basket protein
203973_s_at	1.47e-04	2.11e-05	11.3910207	CEBPD	CCAAT/enhancer binding protein delta
214815_at	1.47e-04	2.11e-05	11.3906621	TRIM33	tripartite motif containing 33
208361_s_at	1.47e-04	2.11e-05	11.3905913	POLR3D	RNA polymerase III subunit D
210858_x_at	1.47e-04	2.11e-05	11.3901897	ATM	ATM serine/threonine kinase
205638_at	1.47e-04	2.11e-05	11.3892657	ADGRB3	adhesion G protein-coupled receptor B3
219689_at	1.48e-04	2.12e-05	11.3858598	SEMA3G	semaphorin 3G
213666_at	1.48e-04	2.12e-05	11.3855431	SEPT6	septin 6
202615_at	1.48e-04	2.12e-05	11.3851383	GNAQ	G protein subunit alpha q
212743_at	1.48e-04	2.12e-05	11.3840795	RCHY1	ring finger and CHY zinc finger domain containing 1
215262_at	1.48e-04	2.12e-05	11.3838881		
208447_s_at	1.48e-04	2.12e-05	11.3835434	PRPS1	phosphoribosyl pyrophosphate synthetase 1
205711_x_at	1.48e-04	2.13e-05	11.3818303	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
214135_at	1.48e-04	2.13e-05	11.3816173	CLDN18	claudin 18
211894_x_at	1.48e-04	2.13e-05	11.3779174	SEZ6L	seizure related 6 homolog like
206098_at	1.49e-04	2.14e-05	11.3758457	ZBTB6	zinc finger and BTB domain containing 6
204943_at	1.49e-04	2.14e-05	11.3755968	ADAM12	ADAM metallopeptidase domain 12
204682_at	1.49e-04	2.14e-05	11.3755313	LTBP2	latent transforming growth factor beta binding protein 2
220620_at	1.49e-04	2.14e-05	11.3748379	CRCT1	cysteine rich C-terminal 1
207599_at	1.49e-04	2.14e-05	11.3731978	MMP20	matrix metallopeptidase 20
208846_s_at	1.49e-04	2.15e-05	11.3703161	VDAC3	voltage dependent anion channel 3
220836_at	1.49e-04	2.15e-05	11.3688501	ZNF407	zinc finger protein 407
212319_at	1.49e-04	2.15e-05	11.3678589	SGSM2	small G protein signaling modulator 2
203018_s_at	1.49e-04	2.15e-05	11.3669984	SSX2IP	SSX family member 2 interacting protein
219662_at	1.49e-04	2.15e-05	11.3665013	C2orf49	chromosome 2 open reading frame 49
215477_at	1.49e-04	2.16e-05	11.3657808		
216018_at	1.49e-04	2.16e-05	11.3657544	RNF5	ring finger protein 5
207138_at	1.49e-04	2.16e-05	11.3652606	PHF2	PHD finger protein 2
209909_s_at	1.50e-04	2.16e-05	11.3625351	TGFB2	transforming growth factor beta 2
201394_s_at	1.50e-04	2.17e-05	11.3594929	RBM5	RNA binding motif protein 5
218785_s_at	1.50e-04	2.17e-05	11.3569242	IFT22	intraflagellar transport 22
208134_x_at	1.50e-04	2.17e-05	11.3566248	PSG2	pregnancy specific beta-1-glycoprotein 2
220180_at	1.51e-04	2.18e-05	11.3534283	CCDC68	coiled-coil domain containing 68
212038_s_at	1.51e-04	2.18e-05	11.353376	VDAC1	voltage dependent anion channel 1
209021_x_at	1.51e-04	2.18e-05	11.3529774	ATG13	autophagy related 13
206727_at	1.51e-04	2.18e-05	11.3526267	C9	complement component 9
218334_at	1.51e-04	2.18e-05	11.3515633	THOC7	THO complex 7
214762_at	1.51e-04	2.18e-05	11.3509538	ATP6V1G2	ATPase H+ transporting V1 subunit G2
209843_s_at	1.51e-04	2.19e-05	11.3506955	SOX10	SRY-box 10
216044_x_at	1.51e-04	2.19e-05	11.3497604	FAM69A	family with sequence similarity 69 member A
205673_s_at	1.51e-04	2.19e-05	11.3476143	ASB9	ankyrin repeat and SOCS box containing 9
206429_at	1.51e-04	2.19e-05	11.3468944	F2RL1	F2R like trypsin receptor 1
219493_at	1.51e-04	2.19e-05	11.3465595	SHCBP1	SHC binding and spindle associated 1
212165_at	1.51e-04	2.19e-05	11.3462378	TMEM183B///TMEM183A	transmembrane protein 183B///transmembrane protein 183A
220146_at	1.51e-04	2.20e-05	11.3443428	TLR7	toll like receptor 7
219857_at	1.52e-04	2.20e-05	11.3437734	PLEKHS1	pleckstrin homology domain containing S1
205538_at	1.52e-04	2.20e-05	11.341682	CORO2A	coronin 2A
202938_x_at	1.52e-04	2.20e-05	11.3412978	RRP7BP///RRP7A	ribosomal RNA processing 7 homolog B, pseudogene///ribosomal RNA processing 7 homolog A
211402_x_at	1.52e-04	2.21e-05	11.3377059	NR6A1	nuclear receptor subfamily 6 group A member 1
216047_x_at	1.53e-04	2.22e-05	11.3343588	SEZ6L	seizure related 6 homolog like
203703_s_at	1.53e-04	2.22e-05	11.3307196	TTLL4	tubulin tyrosine ligase like 4
213028_at	1.53e-04	2.22e-05	11.3306326	NFRKB	nuclear factor related to kappaB binding protein
210527_x_at	1.53e-04	2.23e-05	11.3300887	TUBA3D///TUBA3C	tubulin alpha 3d///tubulin alpha 3c
220135_s_at	1.54e-04	2.24e-05	11.3243584	SLC7A9	solute carrier family 7 member 9
219780_at	1.54e-04	2.24e-05	11.3243009	ZNF771	zinc finger protein 771
206533_at	1.54e-04	2.24e-05	11.3238161	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit
207643_s_at	1.54e-04	2.24e-05	11.3230084	TNFRSF1A	TNF receptor superfamily member 1A
214764_at	1.54e-04	2.25e-05	11.3202228	RRP15	ribosomal RNA processing 15 homolog
205747_at	1.54e-04	2.25e-05	11.3199564	CBLN1	cerebellin 1 precursor
213407_at	1.54e-04	2.25e-05	11.3173722	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2
201552_at	1.54e-04	2.25e-05	11.317223	LAMP1	lysosomal associated membrane protein 1
202509_s_at	1.54e-04	2.25e-05	11.3171974	TNFAIP2	TNF alpha induced protein 2
216643_at	1.54e-04	2.25e-05	11.3169801		
214968_at	1.54e-04	2.26e-05	11.3154334	DDX51	DEAD-box helicase 51
213125_at	1.54e-04	2.26e-05	11.3154075	OLFML2B	olfactomedin like 2B
37020_at	1.55e-04	2.26e-05	11.3140479	CRP	C-reactive protein, pentraxin-related
200912_s_at	1.55e-04	2.26e-05	11.3129402	MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2	microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2
207779_at	1.55e-04	2.26e-05	11.3123643		
212735_at	1.55e-04	2.27e-05	11.3100617	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein
64371_at	1.55e-04	2.27e-05	11.3090249	SUGP2	SURP and G-patch domain containing 2
204651_at	1.55e-04	2.27e-05	11.3085884	NRF1	nuclear respiratory factor 1
217358_at	1.55e-04	2.27e-05	11.3075237	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16
215927_at	1.55e-04	2.27e-05	11.3057576	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2
202961_s_at	1.56e-04	2.28e-05	11.3045497	ARMC2-AS1///ATP5J2	ARMC2 antisense RNA 1///ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2
1861_at	1.56e-04	2.28e-05	11.3030704	BAD	BCL2 associated agonist of cell death
205520_at	1.56e-04	2.28e-05	11.3026826	STRN	striatin
213643_s_at	1.56e-04	2.28e-05	11.3024719	INPP5B	inositol polyphosphate-5-phosphatase B
218688_at	1.56e-04	2.29e-05	11.2978929	TKFC	triokinase and FMN cyclase
220995_at	1.56e-04	2.29e-05	11.2970703	STXBP6	syntaxin binding protein 6
221344_at	1.56e-04	2.29e-05	11.2966956	OR12D2	olfactory receptor family 12 subfamily D member 2 (gene/pseudogene)
213094_at	1.57e-04	2.30e-05	11.2946784	ADGRG6	adhesion G protein-coupled receptor G6
211662_s_at	1.57e-04	2.30e-05	11.2940944	VDAC2	voltage dependent anion channel 2
212268_at	1.57e-04	2.30e-05	11.2939374	SERPINB1	serpin family B member 1
210824_at	1.57e-04	2.30e-05	11.2936642		
216287_at	1.57e-04	2.31e-05	11.2897845		
216428_x_at	1.57e-04	2.31e-05	11.2893066	KIR3DX1	killer cell immunoglobulin like receptor, three Ig domains X1
220036_s_at	1.57e-04	2.31e-05	11.288251	LMBR1L	limb development membrane protein 1 like
208456_s_at	1.57e-04	2.31e-05	11.2876993	RRAS2	related RAS viral (r-ras) oncogene homolog 2
211057_at	1.57e-04	2.31e-05	11.2871728	ROR1	receptor tyrosine kinase like orphan receptor 1
216957_at	1.57e-04	2.31e-05	11.2868101	USP22	ubiquitin specific peptidase 22
217571_at	1.57e-04	2.32e-05	11.2849952		
217290_at	1.57e-04	2.32e-05	11.284613		
217049_x_at	1.57e-04	2.32e-05	11.2845973	PCDH11Y///PCDH11X	protocadherin 11 Y-linked///protocadherin 11 X-linked
219569_s_at	1.58e-04	2.32e-05	11.2833112	SLC35G2	solute carrier family 35 member G2
218966_at	1.58e-04	2.32e-05	11.2825049	MYO5C	myosin VC
215727_x_at	1.58e-04	2.33e-05	11.2793478	ARMCX6	armadillo repeat containing, X-linked 6
203776_at	1.58e-04	2.33e-05	11.2788621	GPKOW	G-patch domain and KOW motifs
214912_at	1.58e-04	2.33e-05	11.2783382		
203295_s_at	1.58e-04	2.33e-05	11.2767264	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
208084_at	1.59e-04	2.34e-05	11.2725489	LOC100505984///ITGB6	uncharacterized LOC100505984///integrin subunit beta 6
220148_at	1.59e-04	2.34e-05	11.2721285	ALDH8A1	aldehyde dehydrogenase 8 family member A1
221414_s_at	1.59e-04	2.34e-05	11.2718972	DEFB126	defensin beta 126
206227_at	1.59e-04	2.35e-05	11.2701643	CILP	cartilage intermediate layer protein
210606_x_at	1.59e-04	2.35e-05	11.2686769	KLRD1	killer cell lectin like receptor D1
218656_s_at	1.59e-04	2.35e-05	11.2675186	LHFP	lipoma HMGIC fusion partner
217026_at	1.59e-04	2.35e-05	11.2673622	CFTR	cystic fibrosis transmembrane conductance regulator
213906_at	1.59e-04	2.36e-05	11.2668794	MYBL1	MYB proto-oncogene like 1
210441_at	1.59e-04	2.36e-05	11.2653289	CDC14A	cell division cycle 14A
213663_s_at	1.60e-04	2.36e-05	11.2645735	FAM134B	family with sequence similarity 134 member B
211234_x_at	1.60e-04	2.37e-05	11.2623017	ESR1	estrogen receptor 1
201801_s_at	1.60e-04	2.37e-05	11.2612584	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)
220998_s_at	1.60e-04	2.37e-05	11.2584676	UNC93B1	unc-93 homolog B1 (C. elegans)
220048_at	1.60e-04	2.37e-05	11.2581426	EDAR	ectodysplasin A receptor
209159_s_at	1.60e-04	2.38e-05	11.2570254	NDRG4	NDRG family member 4
211621_at	1.60e-04	2.38e-05	11.2558668	AR	androgen receptor
206678_at	1.61e-04	2.38e-05	11.2541641	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit
221387_at	1.61e-04	2.39e-05	11.2529108	NPFFR1	neuropeptide FF receptor 1
210891_s_at	1.61e-04	2.39e-05	11.2515685	GTF2IP4///GTF2IP1///GTF2I	general transcription factor IIi pseudogene 4///general transcription factor IIi pseudogene 1///general transcription factor IIi
206643_at	1.61e-04	2.39e-05	11.251458	HAL	histidine ammonia-lyase
